boardsize,coverage,startx,starty,pathcost,executiontime,nodes_explored,memory_usage
5,25,0,0,80,75,101553,1002336
5,25,0,0,80,80,101553,1002336
5,25,0,0,80,82,101553,1002336
5,25,0,1,80,72,96783,763832
5,25,0,1,80,71,96783,763832
5,25,0,1,80,72,96783,763832
5,25,0,2,80,70,96606,767248
5,25,0,2,80,74,96606,767248
5,25,0,2,80,72,96606,767248
5,25,0,3,80,72,96805,758960
5,25,0,3,80,72,96805,758960
5,25,0,3,80,76,96805,758960
5,25,0,4,80,77,101671,969072
5,25,0,4,80,78,101671,969072
5,25,0,4,80,72,101671,969072
5,25,0,5,79,118,174159,3343496
5,25,0,5,79,114,174159,3343496
5,25,0,5,79,111,174159,3343496
5,25,1,0,80,71,96802,760920
5,25,1,0,80,72,96802,760920
5,25,1,0,80,70,96802,760920
5,25,1,1,80,71,93876,727432
5,25,1,1,80,68,93876,727432
5,25,1,1,80,69,93876,727432
5,25,1,2,80,65,87587,604008
5,25,1,2,80,65,87587,604008
5,25,1,2,80,64,87587,604008
5,25,1,3,80,70,93908,721440
5,25,1,3,80,74,93908,721440
5,25,1,3,80,71,93908,721440
5,25,1,4,80,72,96845,761256
5,25,1,4,80,73,96845,761256
5,25,1,4,80,72,96845,761256
5,25,1,5,79,109,170365,3304856
5,25,1,5,79,111,170365,3304856
5,25,1,5,79,112,170365,3304856
5,25,2,0,80,71,96410,796928
5,25,2,0,80,70,96410,796928
5,25,2,0,80,71,96410,796928
5,25,2,1,80,68,87622,588720
5,25,2,1,80,68,87622,588720
5,25,2,1,80,65,87622,588720
5,25,2,2,80,57,69489,436152
5,25,2,2,80,52,69489,436152
5,25,2,2,80,54,69489,436152
5,25,2,3,80,66,87603,598184
5,25,2,3,80,64,87603,598184
5,25,2,3,80,62,87603,598184
5,25,2,4,80,72,96391,799896
5,25,2,4,80,74,96391,799896
5,25,2,4,80,73,96391,799896
5,25,2,5,80,169,251049,4438896
5,25,2,5,80,161,251049,4438896
5,25,2,5,80,165,251049,4438896
5,25,3,0,80,75,96766,766576
5,25,3,0,80,72,96766,766576
5,25,3,0,80,69,96766,766576
5,25,3,1,80,70,93851,732528
5,25,3,1,80,68,93851,732528
5,25,3,1,80,69,93851,732528
5,25,3,2,80,65,87589,604120
5,25,3,2,80,64,87589,604120
5,25,3,2,80,63,87589,604120
5,25,3,3,80,73,93849,735104
5,25,3,3,80,69,93849,735104
5,25,3,3,80,69,93849,735104
5,25,3,4,80,70,96815,762600
5,25,3,4,80,75,96815,762600
5,25,3,4,80,73,96815,762600
5,25,3,5,79,113,170353,3309112
5,25,3,5,79,112,170353,3309112
5,25,3,5,79,118,170353,3309112
5,25,4,0,80,76,101529,1010680
5,25,4,0,80,75,101529,1010680
5,25,4,0,80,77,101529,1010680
5,25,4,1,80,72,96778,765400
5,25,4,1,80,73,96778,765400
5,25,4,1,80,71,96778,765400
5,25,4,2,80,68,96541,778896
5,25,4,2,80,70,96541,778896
5,25,4,2,80,71,96541,778896
5,25,4,3,80,77,96809,762488
5,25,4,3,80,72,96809,762488
5,25,4,3,80,72,96809,762488
5,25,4,4,80,82,101590,997576
5,25,4,4,80,79,101590,997576
5,25,4,4,80,76,101590,997576
5,25,4,5,79,112,172760,3524880
5,25,4,5,79,114,172760,3524880
5,25,4,5,79,115,172760,3524880
5,25,5,0,79,112,173593,3429176
5,25,5,0,79,114,173593,3429176
5,25,5,0,79,111,173593,3429176
5,25,5,1,79,110,170490,3296344
5,25,5,1,79,111,170490,3296344
5,25,5,1,79,111,170490,3296344
5,25,5,2,80,173,251096,4433296
5,25,5,2,80,172,251096,4433296
5,25,5,2,80,166,251096,4433296
5,25,5,3,79,112,170369,3306144
5,25,5,3,79,113,170369,3306144
5,25,5,3,79,112,170369,3306144
5,25,5,4,79,112,172794,3521464
5,25,5,4,79,128,172794,3521464
5,25,5,4,79,117,172794,3521464
5,25,5,5,80,67,89487,1601200
5,25,5,5,80,66,89487,1601200
5,25,5,5,80,67,89487,1601200
